YEAR_MO_DY,set_uji
2018-01-23,3.52
2018-01-24,4.59
2018-01-25,2.25
2018-01-26,4.77
2018-01-27,4.78
2018-01-28,6.43
2018-01-29,3.36
2018-01-30,5.84
2018-01-31,4.96
2018-02-01,1.7299999999999998
2018-02-02,4.27
2018-02-03,4.49
2018-02-04,6.01
2018-02-05,6.8
2018-02-06,6.14
2018-02-07,5.57
2018-02-08,4.64
2018-02-09,5.83
2018-02-10,5.57
2018-02-11,5.86
2018-02-12,6.17
2018-02-13,5.87
2018-02-14,4.79
2018-02-15,3.16
2018-02-16,6.17
2018-02-17,4.99
2018-02-18,6.51
2018-02-19,6.29
2018-02-20,5.92
2018-02-21,6.97
2018-02-22,4.41
2018-02-23,5.39
2018-02-24,4.51
2018-02-25,5.1
2018-02-26,6.81
2018-02-27,6.53
2018-02-28,6.2
2018-03-01,5.16
2018-03-02,5.77
2018-03-03,4.88
2018-03-04,5.22
2018-03-05,5.15
2018-03-06,5.41
2018-03-07,5.83
2018-03-08,4.29
2018-03-09,6.76
2018-03-10,6.28
2018-03-11,5.85
2018-03-12,5.4
2018-03-13,2.77
2018-03-14,4.76
2018-03-15,4.66
2018-03-16,3.9000000000000004
2018-03-17,6.15
2018-03-18,6.78
2018-03-19,6.29
2018-03-20,6.35
2018-03-21,5.72
2018-03-22,4.55
2018-03-23,6.53
2018-03-24,5.0
2018-03-25,6.29
2018-03-26,6.28
2018-03-27,4.9
2018-03-28,6.25
2018-03-30,5.92
2018-03-31,4.79
2018-04-01,5.97
2018-04-02,6.55
2018-04-03,6.2
2018-04-04,5.81
2018-04-05,6.41
2018-04-06,6.2
2018-04-07,5.62
2018-04-08,6.39
2018-04-09,5.87
2018-04-10,5.99
2018-04-11,6.24
2018-04-12,5.97
2018-04-13,6.05
2018-04-14,6.31
2018-04-15,6.14
2018-04-16,5.98
2018-04-17,5.85
2018-04-18,6.14
2018-04-19,4.93
2018-04-20,5.93
2018-04-21,5.99
2018-04-22,5.54
2018-04-23,5.81
2018-04-24,5.75
2018-04-25,5.68
2018-04-26,5.92
2018-04-27,5.92
2018-04-28,6.05
2018-04-29,6.32
2018-04-30,6.11
2018-05-01,6.23
2018-05-02,6.16
2018-05-03,5.93
2018-05-04,6.3
2018-05-05,6.04
2018-05-06,5.9
2018-05-07,6.0
2018-05-08,6.07
2018-05-09,5.61
2018-05-10,5.85
2018-05-11,5.76
2018-05-12,5.62
2018-05-13,5.53
2018-05-14,5.29
2018-05-15,3.7299999999999995
2018-05-16,4.99
2018-05-17,4.99
2018-05-18,4.92
2018-05-19,5.41
2018-05-20,5.4
2018-05-21,3.97
2018-05-22,5.29
2018-05-23,5.24
2018-05-24,4.84
2018-05-25,5.1
2018-05-26,4.65
2018-05-27,5.11
2018-05-28,4.78
2018-05-29,5.58
2018-05-30,5.37
2018-05-31,5.59
2018-06-01,5.09
2018-06-02,5.35
2018-06-03,4.96
2018-06-04,5.08
2018-06-05,5.32
2018-06-06,5.06
2018-06-07,5.17
2018-06-08,5.2
2018-06-09,4.77
2018-06-10,4.49
2018-06-11,3.31
2018-06-12,4.77
2018-06-13,4.84
2018-06-14,5.36
2018-06-15,5.01
2018-06-16,5.08
2018-06-17,5.19
2018-06-18,5.11
2018-06-19,2.66
2018-06-20,3.1
2018-06-21,2.68
2018-06-22,3.89
2018-06-23,4.42
2018-06-24,3.37
2018-06-25,4.02
2018-06-26,3.8199999999999994
2018-06-27,3.78
2018-06-28,5.18
2018-06-29,4.89
2018-06-30,4.7
2018-07-01,5.32
2018-07-02,5.31
2018-07-03,4.6
2018-07-04,5.07
2018-07-05,5.47
2018-07-06,4.42
2018-07-07,4.47
2018-07-08,4.73
2018-07-09,4.89
2018-07-10,5.15
2018-07-11,4.51
2018-07-12,4.73
2018-07-13,5.03
2018-07-14,4.37
2018-07-15,3.7400000000000007
2018-07-16,4.49
2018-07-17,4.83
2018-07-18,5.19
2018-07-19,5.17
2018-07-20,5.26
2018-07-21,4.74
2018-07-22,3.93
2018-07-23,5.35
2018-07-24,5.85
2018-07-25,5.59
2018-07-26,5.47
2018-07-27,5.3
2018-07-28,4.35
2018-07-29,5.43
2018-07-30,5.35
2018-07-31,4.85
2018-08-01,5.11
2018-08-02,5.88
2018-08-03,4.86
2018-08-04,4.55
2018-08-05,3.5500000000000003
2018-08-06,4.67
2018-08-07,4.56
2018-08-08,5.1
2018-08-09,6.02
2018-08-10,4.62
2018-08-11,3.65
2018-08-12,5.4
2018-08-13,5.48
2018-08-14,5.55
2018-08-15,6.26
2018-08-16,6.11
2018-08-17,3.57
2018-08-18,4.71
2018-08-19,5.04
2018-08-20,5.63
2018-08-21,5.89
2018-08-22,5.77
2018-08-23,6.2
2018-08-24,6.17
2018-08-25,6.18
2018-08-26,5.38
2018-08-27,5.09
2018-08-28,5.95
2018-08-29,5.21
2018-08-30,5.3
2018-08-31,4.76
2018-09-01,3.95
2018-09-02,5.98
2018-09-03,6.25
2018-09-04,5.69
2018-09-05,4.83
2018-09-06,5.51
2018-09-07,5.79
2018-09-08,6.31
2018-09-09,6.66
2018-09-10,6.43
2018-09-11,6.31
2018-09-12,6.79
2018-09-13,6.81
2018-09-14,6.3
2018-09-15,6.41
2018-09-16,6.29
2018-09-17,6.16
2018-09-18,6.43
2018-09-19,5.62
2018-09-20,4.97
2018-09-21,6.7
2018-09-22,7.04
